RIC	Date	Action
CATP.O^G01 (expired)	10/05/2000	OUT
ANDW.OQ^A08 (expired)	10/05/2000	OUT
CBRL.OQ	10/05/2000	OUT
DISH.OQ	10/05/2000	IN
FAST.OQ	10/05/2000	OUT
FHCC.OQ^A05 (expired)	10/05/2000	OUT
ITWOE.OQ^E03 (expired)	10/05/2000	IN
LGTO.OQ^J03 (expired)	10/05/2000	IN
LNCR.OQ^H12 (expired)	10/05/2000	OUT
MEDI.OQ^F07 (expired)	10/05/2000	IN
PMCS.OQ^A16 (expired)	10/05/2000	IN
NTAP.OQ	10/05/2000	IN
NSOL.O^F00 (expired)	10/05/2000	IN
QLGC.OQ^H16 (expired)	10/05/2000	IN
Q^D11 (expired)	10/05/2000	OUT
RXSD.O^G00 (expired)	10/05/2000	OUT
RFMD.OQ^A15 (expired)	10/05/2000	IN
ROST.OQ	10/05/2000	OUT
GMST.OQ^E08 (expired)	10/05/2000	IN
SDLI.O^D01 (expired)	10/05/2000	IN
STEI.OQ^L13 (expired)	10/05/2000	OUT
TECD.OQ	10/05/2000	OUT
TRIN.OQ^I09 (expired)	10/05/2000	OUT
WWWW.OQ^J07 (expired)	10/05/2000	OUT
WOR	10/05/2000	OUT
XOXO.O^L01 (expired)	10/05/2000	IN
COMR.O^A00 (expired)	18/01/2000	OUT
RNWK.OQ	18/01/2000	IN
CEXP.O^J99 (expired)	27/10/1999	OUT
VSTR.O^E01 (expired)	27/10/1999	IN
CNTO.O^J99 (expired)	11/10/1999	OUT
EBAY.OQ	06/10/1999	IN
FDLNB.O^I99 (expired)	09/09/1999	OUT
GX.N^A02 (expired)	09/09/1999	IN
CIEN.N	04/08/1999	IN
QMCO.O	04/08/1999	OUT
AMFM.O^G99 (expired)	14/07/1999	OUT
CNXT.OQ^D11 (expired)	14/07/1999	IN
AMFM.O^G99 (expired)	07/07/1999	IN
AFM.N^H00 (expired)	07/07/1999	OUT
EYE.N^E05 (expired)	07/07/1999	IN
FDLNB.O^I99 (expired)	07/07/1999	IN
DZB^D01 (expired)	07/07/1999	OUT
LCOS.O^J00 (expired)	07/07/1999	IN
MKC	07/07/1999	OUT
JWN	07/07/1999	OUT
SEBL.OQ^B06 (expired)	07/07/1999	IN
ASND.O^F99 (expired)	25/06/1999	OUT
CNET.OQ^G08 (expired)	16/06/1999	IN
FORE.O^F99 (expired)	16/06/1999	OUT
JCOR.O^E99 (expired)	05/05/1999	OUT
VIAV.OQ	05/05/1999	IN
NSCP.O^C99 (expired)	18/03/1999	OUT
STCN.OQ	18/03/1999	IN
ATHMQ.O^J01 (expired)	10/03/1999	IN
TCOMA.O^C99 (expired)	10/03/1999	OUT
CMVT.OQ^B07 (expired)	13/01/1999	IN
HBOC.O^A99 (expired)	13/01/1999	OUT
AW^L08 (expired)	30/12/1998	OUT
SANM.OQ	30/12/1998	IN
ADTN.OQ	21/12/1998	OUT
AMZN.OQ	21/12/1998	IN
PHYCQ.OB^G02 (expired)	21/12/1998	OUT
OFISE.OB^I01 (expired)	21/12/1998	OUT
COMR.O^A00 (expired)	21/12/1998	IN
DLTR.OQ	21/12/1998	IN
DURA.O^K00 (expired)	21/12/1998	OUT
GNCI.O^H99 (expired)	21/12/1998	OUT
INTU.OQ	21/12/1998	IN
LNCR.OQ^H12 (expired)	21/12/1998	IN
MCLDQ.O^D02 (expired)	21/12/1998	IN
VTSS.OQ^F06 (expired)	21/12/1998	IN
OXHP.O^D01 (expired)	21/12/1998	OUT
PAIR.O^F00 (expired)	21/12/1998	OUT
SY^G10 (expired)	21/12/1998	OUT
VRTS.OQ^G05 (expired)	21/12/1998	IN
NLI.N^C02 (expired)	21/12/1998	IN
WCLX.O^J01 (expired)	21/12/1998	OUT
AABA.OQ^J19 (expired)	16/09/1998	IN
MCIC.O^I98 (expired)	16/09/1998	OUT
IT	15/09/1998	OUT
IAC.OQ	15/09/1998	IN
DIGI.O^I98 (expired)	28/08/1998	OUT
